Value
0.0025793
6.154926429576802e-08
3.342791201950619e-12
5.219036049869632e-14
4.472749569947148e-15
2.572048540219691e-14
4.540328179471674e-19
4.1751161375998954e-19
3.879973547442483e-19
3.6258653822974984e-19
1.4530977687696527e-06
2.9782918866181723e-11
1.1644541208111125e-13
6.118604872990055e-15
3.1806425359650944e-14
2.5620954799248022e-15
3.95307842383553e-19
3.680677357547849e-19
3.4350950125541053e-19
1.67871429274383e-07
1.3594841672142898e-10
1.9860236475815855e-13
1.1559778396436579e-14
2.7148407007233318e-14
2.594177273897265e-15
2.5321131397378775e-10
6.776652537647253e-13
3.7123385622718613e-14
2.816235431599927e-14
6.20356039571803e-12
1.4115971534769493e-13
1.2790929367207827e-14
9.753775898784528e-14
3.93748816437185e-15
2.8930904196867147e-15
4.641255810543598e-19
3.496618741659504e-19
3.040528503533854e-19
3.2618184438424276e-11
8.793499727470112e-13
1.0896116356018636e-14
1.0419690784372589e-13
3.89562824355534e-15
3.7626276262512156e-19
3.508164449194348e-19
3.2747369030124173e-19
3.0548939495750073e-19
3.3807498719061096e-11
2.2690516167798146e-13
2.36916556780807e-14
1.494967578793983e-13
6.750775095388312e-14
4.213910041008202e-15
4.648288497708109e-19
3.755360591282207e-19
1.5399312530844913e-13
1.281334709285904e-13
4.2230431684493974e-13
6.7990066430543e-14
4.447367318935784e-15
5.295526085579369e-19
7.681908530595723e-13
6.420626735186558e-13
3.2594288145850345e-13
1.2982953406380949e-18
6.318996455639241e-19
5.360533603897942e-19
4.977260046470995e-19
3.302440990897202e-12
1.4273448743069873e-12
3.154287742570448e-13
5.376946304961103e-12
3.633769327116277e-13
2.4378308430400026e-13
4.613337053345444e-15
2.1996414613800832e-12
5.01847160683642e-13
5.800528693983713e-15
4.408204016495547e-15
1.307185039996497e-12
9.32629372316948e-14
5.77616156935958e-15
1.050627450907831e-11
3.1760129446471232e-12
2.651121010114654e-13
5.820363231034161e-13
1.557260867269667e-13
6.719480226170281e-14
4.7890158156782635e-14
8.7498047803495e-15
5.18196192753477e-15
1.5888219800681514e-12
4.406363569789005e-12
1.7769299298919869e-12
5.132366279978389e-14
2.6353228174638853e-13
1.7507645388953208e-13
5.167972490314155e-14
5.529909436849447e-14
3.913616171556883e-14
8.047324692726666e-15
